life,k__Archaea, p__Crenarchaeota, c__Thaumarchaeota, o__Nitrososphaerales, f__Nitrososphaeraceae, g__Candidatus Nitrososphaera,101071,1000
life,k__Archaea, p__Euryarchaeota, c__[Parvarchaea], o__YLA114, f__, g__,denovo2449,1000
life,k__Archaea,,,,,,denovo668,1000
life,k__Bacteria, p__Acidobacteria, c__, o__, f__, g__,denovo2218,1000
life,k__Bacteria, p__Acidobacteria, c__Acidobacteria-5, o__, f__, g__,3490229,1000
life,k__Bacteria, p__Acidobacteria, c__Acidobacteria-6, o__iii1-15, f__, g__,509442,1000
life,k__Bacteria, p__Acidobacteria, c__Acidobacteria-6, o__iii1-15, f__, g__,704612,1000
life,k__Bacteria, p__Acidobacteria, c__Chloracidobacteria, o__, f__, g__,55946,1000
life,k__Bacteria, p__Acidobacteria, c__Chloracidobacteria, o__, f__, g__,636687,2000
life,k__Bacteria, p__Acidobacteria, c__Holophagae, o__Holophagales, f__Holophagaceae, g__,144899,1000
life,k__Bacteria, p__Acidobacteria, c__Holophagae, o__Holophagales, f__Holophagaceae,,3252661,1000
life,k__Bacteria, p__Acidobacteria, c__MVS-40, o__, f__, g__,583865,1000
life,k__Bacteria, p__Acidobacteria, c__MVS-40, o__, f__, g__,669483,1000
life,k__Bacteria, p__Acidobacteria, c__Solibacteres, o__Solibacterales, f__Solibacteraceae, g__Candidatus Solibacter,304016,1000
life,k__Bacteria, p__Acidobacteria, c__Solibacteres, o__Solibacterales, f__Solibacteraceae, g__Candidatus Solibacter,789791,2000
life,k__Bacteria, p__Actinobacteria, c__Acidimicrobiia, o__Acidimicrobiales, f__, g__,255515,1000
life,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Actinosynnemataceae, g__,12978,1000
life,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Cellulomonadaceae, g__Cellulomonas,235695,6000
life,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Cellulomonadaceae,,101394,10000
life,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Corynebacteriaceae, g__Corynebacterium,1093318,1000
life,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Frankiaceae, g__,73544,1000
life,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Frankiaceae, g__,240553,1000
life,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Frankiaceae, g__,252713,1000
life,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Frankiaceae, g__,254635,1000
life,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Frankiaceae, g__,887457,1000
life,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Frankiaceae, g__,denovo804,1000
life,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Intrasporangiaceae, g__,248784,1000
life,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Intrasporangiaceae, g__,581352,2000
life,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Intrasporangiaceae,,denovo2879,1000
life,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Kineosporiaceae, g__Kineosporia,12697,1000
life,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Microbacteriaceae,,535579,1000
life,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Microbacteriaceae,,739867,1000
life,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Microbacteriaceae,,1874551,1000
life,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Micromonosporaceae, g__,214718,2000
life,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Micromonosporaceae,,109779,1000
life,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Nakamurellaceae, g__,147604,1000
life,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Nocardioidaceae, g__,208818,1000
life,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Nocardioidaceae, g__,237339,1000
life,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Nocardioidaceae, g__,778968,1000
life,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Nocardioidaceae, g__,1124464,1000
life,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Nocardioidaceae, g__Aeromicrobium,1798209,1000
life,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Nocardioidaceae,,414150,1000
life,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Nocardioidaceae,,1024759,1000
life,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Sporichthyaceae, g__,243367,1000
life,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Williamsiaceae, g__Williamsia,534222,1000
life,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Williamsiaceae, g__Williamsia,526776,1000
life,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales,,,557925,1000
life,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales,,,1113503,1000
life,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales,,,denovo2458,9000
life,k__Bacteria, p__Actinobacteria, c__Thermoleophilia, o__Gaiellales, f__Gaiellaceae, g__,240172,1000
life,k__Bacteria, p__Actinobacteria, c__Thermoleophilia, o__Gaiellales, f__Gaiellaceae, g__,572125,1000
life,k__Bacteria, p__Actinobacteria, c__Thermoleophilia, o__Gaiellales, f__Gaiellaceae, g__,1143223,1000
life,k__Bacteria, p__Actinobacteria, c__Thermoleophilia, o__Solirubrobacterales, f__Patulibacteraceae, g__,denovo4,1000
life,k__Bacteria, p__Actinobacteria, c__Thermoleophilia, o__Solirubrobacterales, f__Solirubrobacteraceae, g__,252308,2000
life,k__Bacteria, p__Actinobacteria, c__Thermoleophilia, o__Solirubrobacterales,,,533434,1000
